Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
544,5.44435,0.170469
545,5.58898,0.0878364
546,5.64187,0.0697583
547,5.53619,0.128261
548,5.56625,0.149573
549,5.52673,0.145403
550,5.33845,0.199625
551,5.27472,0.189244
552,5.27435,0.185534
553,5.49332,0.164054
554,5.24985,0.2537
555,5.35429,0.188733
556,4.94403,0.327407
557,5.45977,0.185444
558,5.3267,0.169949
559,5.54953,0.138391
560,5.20136,0.245977
561,5.41344,0.186846
562,5.43757,0.20351
563,5.15126,0.252258
564,5.75349,0.0709323
565,5.66769,0.145186
566,5.45863,0.190848
567,5.60375,0.11814
568,5.5117,0.184251
569,5.44273,0.221698
570,5.4669,0.20736
571,5.53959,0.188938
572,5.49522,0.192001
573,5.77075,0.0658776
574,5.76061,0.0826464
575,5.6692,0.115344
576,5.54194,0.161052
577,5.64321,0.110245
578,5.36037,0.222229
579,5.4778,0.19495
580,5.71199,0.116554
581,5.57317,0.155709
582,5.61926,0.142573
583,5.68848,0.143144
584,5.4433,0.210823
585,5.43787,0.195184
586,5.48978,0.18577
587,5.64911,0.141421
588,5.72285,0.121121
589,5.67306,0.149064
590,5.38428,0.220461
591,5.69918,0.151464
592,5.258,0.235971
593,5.28798,0.223482
594,5.47801,0.211558
595,5.57354,0.150653
596,5.65113,0.114992
597,5.5029,0.209953
598,5.5482,0.17961
599,5.80437,0.0596357
600,5.55261,0.160333
601,5.65159,0.184965
602,5.69483,0.133453
603,5.50398,0.225316
604,5.56106,0.188594
605,5.38997,0.233403
606,5.36966,0.234938
607,5.8432,0.079986
608,5.79376,0.151376
609,5.78008,0.144632
610,5.41932,0.219737
611,5.67379,0.159119
612,5.90318,0.0633967
613,5.49618,0.224811
614,5.68268,0.132443
615,5.89674,0.103487
616,5.50506,0.223141
617,5.56904,0.161706
618,5.71318,0.0997927
619,5.42697,0.202145
620,5.68011,0.176422
621,5.8123,0.168731
622,5.96245,0.0784014
623,5.67854,0.127704
624,5.80867,0.135603
625,5.45133,0.255583
626,5.47258,0.246644
627,5.97839,0.0625874
628,5.65988,0.199869
629,5.82812,0.0935185
630,5.91089,0.0580112
631,5.74908,0.202646
632,5.80571,0.134453
633,5.69491,0.200024
634,5.54174,0.220648
635,5.72802,0.164396
636,5.80047,0.0914469
637,5.3998,0.272947
638,5.63868,0.212179
639,5.75136,0.122035
640,5.92133,0.0745134
641,5.75575,0.17202
642,5.92533,0.131796
643,5.69053,0.173823
644,5.72873,0.164013
645,5.99667,0.0708838
646,5.63219,0.164133
647,5.48438,0.258749
648,5.67293,0.157705
649,5.86609,0.141273
650,5.68888,0.191821
651,6.0009,0.0570151
652,5.75276,0.166733
653,5.94018,0.135152
654,5.91633,0.110313
655,5.94259,0.0949907
656,6.06884,0.063755
657,5.92192,0.126255
658,5.82889,0.139166
659,5.65156,0.165605
660,5.86623,0.12322
661,5.82415,0.169114
662,5.55461,0.21579
663,5.77355,0.207239
664,5.84391,0.153765
665,5.99119,0.058624
666,5.74101,0.157465
667,5.87097,0.146712
668,6.03647,0.0555775
669,5.7998,0.115006
670,5.7124,0.193766
671,5.70946,0.222878
672,5.89661,0.122441
673,5.76357,0.122845
674,5.85811,0.123782
675,5.86169,0.169879
676,5.61287,0.236922
677,5.32899,0.291126
678,5.40759,0.290901
679,5.62635,0.188193
680,5.94665,0.132553
681,5.63204,0.233195
682,5.86064,0.178183
683,5.94647,0.0968356
684,5.9527,0.152262
685,6.02779,0.0926709
686,6.07186,0.067133
687,5.93062,0.152684
688,5.89418,0.140368
689,6.07112,0.0701161
690,5.71384,0.205538
691,5.91393,0.125699
692,5.41599,0.259005
693,5.86201,0.174521
694,5.6482,0.234448
695,5.87611,0.173718
696,5.85496,0.202065
697,5.72569,0.199996
698,5.81154,0.168088
699,5.87551,0.138547
700,6.04013,0.103404
701,6.02324,0.120105
702,6.11969,0.0558015
703,5.84194,0.157642
704,5.99797,0.076869
705,5.8061,0.189449
706,6.01533,0.14323
707,5.72888,0.246155
708,5.7166,0.227165
709,5.48366,0.276898
710,5.90337,0.17895
711,5.66695,0.228993
712,5.74487,0.213555
713,5.73442,0.191877
714,5.77915,0.182805
715,6.0065,0.121087
716,6.10402,0.0516459
717,5.62376,0.236379
718,6.06066,0.0841796
719,6.13695,0.070539
720,6.01549,0.138354
721,5.90628,0.155
722,6.00655,0.144153
723,6.01068,0.0945597
724,5.85315,0.170618
725,6.0187,0.115062
726,5.72193,0.217708
727,6.07669,0.13049
728,5.5658,0.265163
729,5.92124,0.213747
730,5.70452,0.203479
731,6.18589,0.0480624
732,5.90583,0.147435
733,6.00872,0.174561
