Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
812,1321.68,74.5783
813,1333.73,69.2328
814,1354.29,67.1126
815,1350.44,69.8421
816,1348.88,71.0365
817,1372.32,64.2058
818,1365.73,63.1285
819,1227.61,80.3557
820,1201.37,82.1086
821,1314.37,67.487
822,1299.47,70.1604
823,1337.96,63.2454
824,1337.08,62.9732
825,1398.6,68.1376
826,1372.61,70.3156
827,1305.46,67.6988
828,1295.27,69.1951
829,1200.32,81.5737
830,1243.7,78.6414
831,1309.03,65.593
832,1308.8,65.5983
833,1315.44,70.8493
834,1331.64,70.1439
835,1292.03,76.0181
836,1277.46,77.144
837,1341.64,70.8259
838,1334.13,71.9785
839,1228.82,81.4508
840,1228.29,81.5772
841,1238.81,93.7152
842,1199.84,97.4977
843,1360.72,65.763
844,1387.77,59.0779
845,1279.18,78.449
846,1276.77,78.3682
847,1277.59,77.0919
848,1268.49,74.7716
849,1242.37,84.2867
850,1215.18,86.258
851,1222.9,88.4953
852,1232.92,88.8936
853,1330.39,73.5059
854,1339.79,73.6884
855,1328,80.2778
856,1337.16,77.2649
857,1244.66,84.8808
858,1236.19,86.4827
859,1299.35,75.207
860,1287.47,75.906
861,1268.81,74.9505
862,1253.93,80.1733
863,1309.92,67.1207
864,1349.63,61.6945
865,1328.5,83.6026
866,1374.42,78.56
867,1252.91,79.4231
868,1298.4,75.0316
869,1265.73,85.4785
870,1245.13,88.9411
871,1197.76,78.3122
872,1198.74,78.9469
873,1275.22,83.6164
874,1272,83.9725
875,1227.81,76.3909
876,1215.69,76.3123
877,1333.15,69.5845
878,1346.57,68.462
879,1407.78,58.3761
880,1404.58,57.8878
881,1327.81,67.8448
882,1339.96,67.7865
883,1305.91,77.8705
884,1308.47,83.6168
885,1300.66,81.046
886,1303.06,80.3831
887,1356.45,66.8873
888,1351.99,67.0882
889,1339.82,74.6784
890,1367.31,72.417
891,1272.75,75.7633
892,1275.47,75.6821
893,1270.91,78.6482
894,1279.44,77.3276
895,1314.51,71.0363
896,1290.02,73.0933
897,1331.54,72.3132
898,1312.61,73.9746
899,1330.11,68.6011
900,1334.89,67.6687
901,1348.44,66.5968
902,1329.74,68.2709
903,1260,77.6534
904,1242.17,82.301
905,1279.53,83.689
906,1298.3,75.0653
907,1343.49,75.9752
908,1337.8,75.4746
909,1339.12,67.4133
910,1342.3,68.5043
911,1413.78,52.4091
912,1416.35,51.9648
913,1369.51,68.7724
914,1419.51,62.2148
915,1250.15,93.8388
916,1291.33,89.9428
917,1413.76,60.059
918,1372.68,68.4921
919,1319.01,81.6023
920,1262.92,85.8261
921,1260.99,80.4638
922,1287.74,77.4485
923,1390.79,60.7962
924,1408.56,59.3318
925,1373.34,56.5706
926,1379.61,55.3107
927,1301.95,70.7992
928,1302.18,74.1844
929,1311.91,77.4439
930,1334.31,76.1781
931,1310.12,67.9739
932,1302.44,67.1328
933,1170.47,100.732
934,1233.88,94.7806
935,1414.36,53.3731
936,1364.36,62.7472
937,1326.48,79.1105
938,1311.81,78.421
939,1250.42,80.6294
940,1259.19,79.1372
941,1258.13,81.6201
942,1197.24,99.6612
943,1315.19,66.9268
944,1315.58,67.113
945,1360.85,72.1155
946,1313.27,81.0425
947,1321.78,91.6101
948,1301.69,92.6435
949,1291.77,74.7506
950,1354.38,58.0656
951,1355.72,68.781
952,1333.56,71.0476
953,1193.29,92.3902
954,1127.13,104.134
955,1379.62,69.8389
956,1338.15,72.7256
957,1247.66,82.0002
958,1157.87,100.666
959,1397.23,62.9928
960,1402.08,56.4508
961,1259.21,87.405
962,1317.1,78.7869
963,1324.05,72.7899
964,1326.2,72.4507
965,1309.67,69.4497
966,1278.39,76.8627
967,1350.96,65.4243
968,1352.95,69.9936
969,1292.43,81.6463
970,1262.11,84.163
971,1328.99,64.5061
972,1342.76,62.1793
973,1268.4,75.5654
974,1268.33,75.9048
975,1254.42,85.6407
976,1273.89,84.1579
977,1347.13,68.681
978,1309.56,73.4965
979,1342.36,62.3999
980,1330.3,63.1155
981,1325.52,76.8086
982,1328.45,77.3076
983,1248.08,88.9281
984,1262.83,89.0329
985,1353.26,69.3057
986,1339.47,68.0127
987,1249.9,79.5865
988,1307.47,74.1035
989,1279.57,79.9414
990,1296.39,79.07
991,1222.45,76.699
992,1154.04,96.631
993,1396.94,59.6699
994,1360.67,66.8445
995,1270.77,80.2027
996,1263.41,81.3405
997,1205.75,98.966
998,1226.94,91.4283
999,1100.51,104.458
1000,1135.71,99.8164
1001,1307.3,68.6971
1002,1273.62,78.1523
1003,1337.47,77.6982
1004,1347.43,77.0077
1005,1357.57,66.0589
1006,1375.87,64.0722
1007,1310.72,75.4736
1008,1276.31,79.403
1009,1295.27,77.9739
1010,1318.36,74.6898
1011,1321.44,73.7536
1012,1344.06,70.4975
1013,1350.13,77.1563
1014,1355.2,76.5133
1015,1413.22,57.4063
1016,1383.86,63.3739
1017,1359.45,65.2091
1018,1352.16,67.7826
1019,1196.06,96.5886
1020,1200.66,94.2425
1021,1335.19,79.6759
1022,1378.76,74.7624
1023,1231.72,95.8831
1024,1238.46,95.713
1025,1385.03,67.3978
1026,1392.29,65.9853
1027,1321.58,76.8463
1028,1333.59,77.5919
1029,1341.35,71.759
1030,1352.99,70.0655
1031,1377.71,73.9366
1032,1335.01,81.9263
1033,1335.86,81.469
1034,1303.53,82.7144
1035,1322.45,76.6223
