Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
901,935.703,216.398
902,955.241,198.631
903,725.703,227.316
904,768.88,220.248
905,751.776,237.447
906,1020.29,197.934
907,1075.54,187.503
908,967.784,193.378
909,926.27,205.454
910,984.787,216.699
911,927.074,216.604
912,841.632,209.088
913,816.298,205.839
914,846.81,206.863
915,1057.97,169.747
916,1081.91,152.115
917,1047.83,163.829
918,1170.08,168.913
919,1069.35,203.965
920,1024.33,211.258
921,794.85,238.42
922,1074.22,205.894
923,801.927,227.192
924,1209.95,160.617
925,939.361,212.648
926,1093.25,194.034
927,1208.92,198.02
928,972.066,216.731
929,1213.9,146.322
930,1061.82,211.043
931,1017.35,205.274
932,810.749,216.601
933,879.987,207.195
934,872.106,192.253
935,1000.81,195.745
936,1018.6,188.609
937,813.757,221.885
938,981.119,218.202
939,818.949,223.57
940,985.807,210.264
941,1002.67,207.105
942,1019.26,223.744
943,798.887,190.603
944,951.23,208.187
945,785.748,214.203
946,817.679,197.124
947,826.912,211.903
948,1086.84,183.502
949,1002.06,190.489
950,1056.72,170.817
951,1018.22,179.709
952,1026.12,207.708
953,1026.55,170.605
954,893.317,196.712
955,945.003,195.903
956,787.122,204.911
957,986.457,154.939
958,935.584,153.109
959,763.365,212.519
960,794.292,205.43
961,952.805,198.26
962,915.456,210.641
963,1142.55,153.518
964,1030.56,162.98
965,1055.79,176.402
966,1092.01,161.531
967,997.568,190.069
968,836.311,207.12
969,1134.57,142.967
970,743.679,206.406
971,903.245,212.942
972,978.312,235.048
973,1167.24,165.45
974,734.38,209.214
975,1152.08,165.761
976,804.066,234.942
977,958.528,224.657
978,883.679,211.464
979,769.881,234.447
980,887.676,189.203
981,997.639,190.234
982,980.016,207.356
983,1016.17,181.964
984,1092.53,162.382
985,1233.74,147.112
986,1081.97,177.718
987,1110.03,183.328
988,1186.54,184.209
989,1298.8,148.849
990,984.445,204.176
991,908.462,226.17
992,933.251,176.974
993,791.883,190.559
994,1115.01,166.812
995,949.396,188.062
996,832.995,228.862
997,1248.98,166.49
998,698.035,246.596
999,653.752,264.529
1000,820.752,245.394
1001,1110.02,198.104
1002,1154.21,172.51
1003,1019.4,195.25
1004,1152.01,180.747
1005,1147.77,196.142
1006,1364.66,158.313
1007,1232.71,163.646
1008,1025.11,194.295
1009,829.311,228.108
1010,903.978,218.926
1011,1035.01,178.296
1012,893.099,192.6
1013,739.941,242.966
1014,825.869,225.589
1015,1098.94,197.89
1016,1049.85,189.041
1017,1098.41,190.834
1018,771.446,211.323
1019,1269.03,136.7
1020,1191.44,153.107
1021,1359.61,135.566
1022,1342.74,116.569
1023,1220.47,177.72
1024,1189.46,175.852
1025,1113.31,208.097
1026,1156.31,162.928
1027,1235.26,189.893
1028,1148.56,196.081
1029,1315.11,189.546
1030,1448.36,108.028
1031,1217,189.61
1032,1145.15,190.691
1033,1130.26,184.457
1034,831.587,233.947
1035,1046.16,214.132
1036,1241.34,175.964
1037,982.088,228.656
1038,904.339,224.119
1039,905.065,235.369
1040,755.016,268.426
1041,824.613,219.184
1042,1062.01,214.792
1043,892.104,226.089
1044,709.965,246.956
1045,1336.83,122.697
1046,1202.11,138.029
1047,1496.55,91.4862
1048,1344.01,128.646
1049,1244.24,140.083
1050,1294.73,159.274
1051,922.173,214.24
1052,937.444,210.692
1053,912.212,199.967
1054,1094.91,169.147
1055,1061.85,177.95
1056,1247.22,144.759
1057,1267.41,189.121
1058,1185.56,166.278
1059,902.83,213.392
1060,1187.9,191.251
1061,1213.17,166.428
1062,1023.59,208.041
1063,1199.31,181.49
1064,1163.37,215.387
1065,1343.73,184.645
1066,917.732,225.301
1067,1103.82,186.062
1068,1117.17,189.751
1069,800.904,218.915
1070,758.729,237.554
1071,710.725,247.751
1072,767.597,222.947
1073,925.5,209.247
1074,715.847,256.904
1075,1107.13,174.275
1076,1129.04,191.478
1077,1130.37,186.584
1078,1214.5,146.365
1079,1257.93,129.214
1080,961.403,221.666
1081,931.955,205.061
1082,1299.01,175.462
1083,1147.33,163.642
1084,1145.79,169.961
1085,822.793,213.08
1086,1037.19,197.3
1087,1318.07,179.124
1088,1120.19,208.647
1089,1284.84,138.129
1090,883.029,230.942
1091,1142.45,194.623
1092,923.768,244.604
1093,1037.77,199.859
1094,1002.13,197.852
1095,916.625,216.743
1096,1014.91,205.203
1097,799.541,221.111
1098,1149.76,158.334
1099,1450.39,97.8279
1100,1336.1,113.3
1101,931.361,204.985
1102,1189.36,174.136
1103,1203.69,156.068
1104,1229.1,160.778
1105,1507.91,89.792
1106,1155.53,200.922
1107,1145.73,192.597
1108,1245.08,175.6
1109,1530.49,101.539
1110,1063.64,225.642
1111,1162.78,151.675
1112,884.988,217.12
1113,943.579,202.853
1114,838.121,238.21
1115,1009.21,195.02
1116,1012.65,178.884
1117,1163.89,183.182
1118,1090.42,200.889
1119,1063.39,184.871
1120,1110.78,196.039
1121,1319.8,135.097
1122,974.928,207.893
1123,773.983,257.149
1124,944.984,233.97
1125,898.469,241.491
1126,967.582,207.053
1127,1168.52,216.244
1128,649.463,262.666
1129,703.716,241.382
1130,895.096,218.376
1131,863.596,234.052
1132,928.149,212.249
1133,895.694,239.25
1134,777.883,249.06
1135,1151.04,175.378
1136,803.865,230.652
1137,1038.2,183.341
1138,1150.17,192.17
1139,691.717,231.815
1140,862.679,217.955
1141,1033.21,174.831
1142,1021.49,167.573
1143,948.467,191.336
1144,939.78,168.859
1145,1085.01,174.196
1146,1006.01,197.889
1147,1034.01,221.504
1148,1205.77,203.001
1149,1309.78,174.865
1150,1283.53,187.291
1151,1262.24,175.839
1152,1473.87,97.8621
1153,994.846,217.772
1154,1337.36,145.242
1155,746.939,213.761
1156,1004.57,202.266
1157,1141.89,170.987
1158,1178.33,185.848
1159,1078,204.422
1160,1245.15,168.65
1161,1093.36,189.809
1162,1241.58,154.866
1163,917.786,206.311
1164,849.347,211.141
1165,1354.95,144.077
1166,1255.27,180.359
1167,1160.61,181.746
1168,1098.23,195.326
1169,1386.41,117.452
1170,990.08,228.64
1171,962.576,225.83
1172,1183.79,167.383
1173,1323.39,179.517
1174,1093.75,221.699
1175,1191.51,136.478
1176,1238.23,166.376
1177,1143,209.854
1178,940.048,200.162
1179,1060.94,204.087
1180,1133.27,216.27
1181,902.48,237.251
1182,1275.45,173.964
1183,1065.42,212.305
1184,1390.33,145.067
1185,1355.06,142.082
1186,1157.68,177.407
1187,1260.79,154.05
1188,1277.84,157.733
1189,990.442,195.949
1190,1058.34,159.206
1191,927.98,203.578
1192,1059.09,174.242
1193,969.858,196.066
1194,914.914,175.934
1195,1035.92,218.23
1196,919.333,218.229
1197,1102.18,180.763
1198,1217.96,169.441
1199,1251.02,169.739
1200,1198.72,196.606
1201,1123.18,164.981
1202,950.615,221.677
1203,1064.75,180.345
1204,964.207,195.333
1205,1111.46,167.693
1206,1098.49,161.937
1207,1325.02,178.555
1208,1267.88,194.787
1209,1162.18,203.405
1210,1288.4,177.375
1211,1288.98,152.22
1212,1334.78,189.029
1213,1010.4,223.629
1214,1054.06,216.431
1215,1284.89,169.127
1216,1131.38,212.253
